FEN,Evaluation,Result
rnbqkbnr/pp1pppp1/2p4p/8/8/P4N2/1PPPPPPP/RNBQKB1R w KQkq - 0 1,74,1.0
rnbqkbnr/pp1pppp1/2p4p/8/3P4/P4N2/1PP1PPPP/RNBQKB1R b KQkq d3 0 1,130,1.0
rnbqkb1r/pp1pppp1/2p2n1p/8/3P4/P4N2/1PP1PPPP/RNBQKB1R w KQkq - 0 1,68,1.0
rnbqkb1r/pp1pppp1/2p2n1p/8/3P4/P1N2N2/1PP1PPPP/R1BQKB1R b KQkq - 0 1,128,1.0
rnbqkb1r/pp2ppp1/2p2n1p/3p4/3P4/P1N2N2/1PP1PPPP/R1BQKB1R w KQkq d6 0 1,72,1.0
rnbqkb1r/pp2ppp1/2p2n1p/3p4/3P4/P1NQ1N2/1PP1PPPP/R1B1KB1R b KQkq - 0 1,100,1.0
r1bqkb1r/pp1nppp1/2p2n1p/3p4/3P4/P1NQ1N2/1PP1PPPP/R1B1KB1R w KQkq - 0 1,65,1.0
r1bqkb1r/pp1nppp1/2p2n1p/3p4/3PP3/P1NQ1N2/1PP2PPP/R1B1KB1R b KQkq e3 0 1,101,1.0
r1bqkb1r/pp1nppp1/2p2n1p/8/3Pp3/P1NQ1N2/1PP2PPP/R1B1KB1R w KQkq - 0 1,-20,1.0
r1bqkb1r/pp1nppp1/2p2n1p/8/3PN3/P2Q1N2/1PP2PPP/R1B1KB1R b KQkq - 0 1,113,1.0
r1b1kb1r/pp1nppp1/2p2n1p/q7/3PN3/P2Q1N2/1PP2PPP/R1B1KB1R w KQkq - 0 1,80,1.0
r1b1kb1r/pp1nppp1/2p2n1p/q7/3PN3/P2Q1N2/1PPB1PPP/R3KB1R b KQkq - 0 1,94,1.0
r1b1kb1r/pp1nppp1/1qp2n1p/8/3PN3/P2Q1N2/1PPB1PPP/R3KB1R w KQkq - 0 1,103,1.0
r1b1kb1r/pp1nppp1/1qp2n1p/8/3PN3/P2Q1N2/1PPB1PPP/2KR1B1R b kq - 0 1,114,1.0
r1b1kb1r/pp1n1pp1/1qp1pn1p/8/3PN3/P2Q1N2/1PPB1PPP/2KR1B1R w kq - 0 1,84,1.0
